item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
6230,一种离心泵转子,CN209083664U,2019.07.09,2.02E+12,2018.12.03,胜利油田长安特易节能设备有限责任公司,张涛;??董烈涛;??任朝霞,257100山东省东营市东营区西四路870号,F04D29/22(2006.01)I;??F04D15/00(2006.01)I
6231,一种基于RS485的统一转换电路,CN209087129U,2019.07.09,2.02E+12,2018.12.03,重庆市伟岸测器制造股份有限公司,徐尚通,401121重庆市北部新区高新园黄山大道中段66号,G08C17/02(2006.01)I;??G08C19/00(2006.01)I
6232,基于光学相干层析的全深式曲面轮廓测量装置,CN209085557U,2019.07.09,2.02E+12,2018.12.03,福州大学,钟舜聪;??方波;??沈耀春,350108福建省福州市闽侯县上街镇福州大学城学院路2号福州大学新区,G01B11/24(2006.01)I
6233,一种服务器用机械冲击治具,CN209085883U,2019.07.09,2.02E+12,2018.12.03,贵州浪潮英信科技有限公司,井鑫;??张庆华,561113贵州省安顺市平坝县贵安新区电子信息产业园黔中路电子信息产业园内,G01M7/08(2006.01)I
6234,一种元器件自动清点计数装置,CN209086984U,2019.07.09,2.02E+12,2018.12.03,厦门大学;,周子硕;??李绍滋;??刘旭峰,361005福建省厦门市思明南路422号,G06M1/272(2006.01)I
6235,一种机械加工上料输送装置,CN209078361U,2019.07.09,2.02E+12,2018.12.03,唐山市蓝力机械制造有限公司,童福鑫,063000河北省唐山市丰南沿海工业区,B23Q7/00(2006.01)I
6236,一种标签自动打印与输送装置,CN209080407U,2019.07.09,2.02E+12,2018.12.03,上海金自天正信息技术有限公司,刘新建;,200120上海市浦东新区中国(上海)自由贸易试验区芳春路400号1幢3层301-130室,B65C9/46(2006.01)I;??B65C9/14(2006.01)I
6237,一种矿用隔爆型LED智慧灯,CN209084643U,2019.07.09,2.02E+12,2018.12.03,龙岩龙安安全科技有限公司,汪金洋;,364000福建省龙岩市新罗区西陂街道工业西路68号龙州工业园创业园A幢8楼,F21S10/02(2006.01)I;
6238,一种转动连接件的芯轴与外壳的装配设备,CN209078186U,2019.07.09,2.02E+12,2018.12.04,深圳中科智能制造有限公司,罗桑;??徐欢;??徐国荣,518000广东省深圳市宝安区燕罗街道塘下涌社区洋涌路96号办公楼103,B23P19/00(2006.01)I
6239,开关电路和包括该开关电路的料理机,CN209087706U,2019.07.09,2.02E+12,2018.12.03,浙江绍兴苏泊尔生活电器有限公司,彭勇军;??罗莉,312017浙江省绍兴市世纪西街3号（袍江工业园区）,H01H47/02(2006.01)I;
